Codigo,NOMBRE,GRUPO,NUM_GRUPO,AGUA(%),Energia(kcal),Proteina(g),Grasa_Total(g),HDC(g),Fibra_Dietetica(g),Ceniza(g),Calcio(mg),Fosforo(mg),Hierro(mg),Tiamina(mg),Riboflabina(g),Niacina(g),Vita_C(mg),Vita_A_EQ_Retinol(mcg),A_G_mono(g),A_G_Poli(g),A_G_Saturados(g),Colesterol(mg),Potasio(mg),Sodio(mg),Zinc(mg),Magnesio(mg),Vita_B6,Bita_B12,Acido_Folico(mcg),Folato_Eq_FD(mcg),Aprovecha(%)
1001,"CREMA, ESPESA","Leche, quesos y similares",1,57.71,345,2.05,37,2.79,0,0.45,65,62,0.03,0.02,0.11,0.04,1,411,10.69,1.37,23.03,137,75,38,0.23,7,0.03,0.18,0,4,1
1002,"CREMA, RALA","Leche, quesos y similares",1,73.75,195,2.7,19.31,3.66,0,0.58,96,80,0.04,0.03,0.15,0.06,1,181,5.58,0.72,12.02,66,122,40,0.27,9,0.03,0.22,0,2,1
1003,"CREMA, SUSTITUTO NO LACTEO,  EN POLVO","Leche, quesos y similares",1,2.21,546,4.79,35.48,54.88,0,2.64,22,422,1.15,0,0.17,0,0,2,0.97,0.01,32.53,0,812,181,0.51,4,0,0,0,0,1
1004,"LECHE DE BURRA, FLUIDA","Leche, quesos y similares",1,90.2,43,1.7,1.2,6.5,,0.4,126,57,0.2,0.02,0.09,0.1,2,,,,,,,,,,,,,,1
1005,"LECHE DE CABRA, FLUIDA","Leche, quesos y similares",1,87.03,69,3.56,4.14,4.45,0,0.82,134,111,0.05,0.05,0.14,0.28,1,57,1.11,0.15,2.67,11,204,50,0.3,14,0.05,0.07,0,1,1
1007,"LECHE HUMANA, FLUIDA","Leche, quesos y similares",1,87.5,45,1,1.5,6.9,,,32,,0.1,0.01,0.04,0.2,5,64,0.74,0.19,1.01,4,51,17,0.17,3,0.01,0.04,5,,1
1008,"LECHE DE VACA, CHOCOLATADA, FLUIDA, BAJA EN GRASA","Leche, quesos y similares",1,82.17,76,2.99,1.9,12.13,0.7,0.81,109,76,0.24,0.05,0.56,0.16,0,64,0.46,0.09,1.18,8,123,66,0.39,14,0.02,0.33,0,2,1
1009,"LECHE DE VACA, CONDENSADA C/AZUCAR, ENLAT,","Leche, quesos y similares",1,27.16,321,7.91,8.7,54.4,0,1.83,284,253,0.19,0.09,0.42,0.21,3,74,2.43,0.34,5.49,34,371,127,0.94,26,0.05,0.44,0,11,1
1010,"LECHE DE VACA, SEMIDESCREMADA (2 % GRASA), FLUIDA","Leche, quesos y similares",1,89.33,50,3.3,1.97,4.68,0,0.71,117,94,0.03,0.04,0.19,0.09,0,55,0.56,0.07,1.26,8,150,41,0.43,11,0.04,0.46,0,5,1
1011,"LECHE DE VACA, DESCREMADA S/VIT A,  EN POLVO","Leche, quesos y similares",1,3.16,362,36.16,0.77,51.98,0,7.93,1257,968,0.32,0.41,1.55,0.95,7,6,0.2,0.03,0.5,20,1794,535,4.08,110,0.36,4.03,0,50,1
1012,"LECHE DE VACA, DESCREMADA C/VIT A,  EN POLVO","Leche, quesos y similares",1,3.16,362,36.16,0.77,51.98,0,7.93,1257,968,0.32,0.41,1.55,0.95,7,653,0.2,0.03,0.5,20,1794,535,4.08,110,0.36,4.03,0,50,1
1013,"LECHE DE VACA, DESCREMADA C/VIT A,  EN POLVO INSTANTANEA","Leche, quesos y similares",1,3.96,358,35.1,0.72,52.19,0,8.03,1231,985,0.31,0.41,1.74,0.89,6,709,0.19,0.03,0.47,18,1705,549,4.41,117,0.34,3.99,0,50,1
1014,"LECHE DE VACA, INTEGRA, EVAPORADA C/VIT A, ENLAT,","Leche, quesos y similares",1,74.04,134,6.81,7.56,10.04,0,1.55,261,203,0.19,0.05,0.32,0.19,2,112,2.34,0.25,4.59,29,303,106,0.77,24,0.05,0.16,0,8,1
1015,"LECHE DE VACA, INTEGRA, FLUIDA (3,25% GRASA)","Leche, quesos y similares",1,88.32,60,3.22,3.25,4.52,0,0.69,113,91,0.03,0.04,0.18,0.11,0,28,0.81,0.19,1.87,10,143,40,0.4,10,0.04,0.44,0,5,1
1016,"LECHE DE VACA, INTEGRA, EN POLVO","Leche, quesos y similares",1,2.47,496,26.32,26.71,38.42,0,6.08,912,776,0.47,0.28,1.21,0.65,9,257,7.92,0.67,16.74,97,1330,371,3.34,85,0.3,3.25,0,37,1
1019,"QUESO AMARILLO, PASTRZ & PROCES,, RODAJAS","Leche, quesos y similares",1,39.16,375,22.15,31.25,1.6,0,5.84,552,513,0.19,0.03,0.35,0.07,0,254,8.95,0.99,19.69,94,169,1489,2.84,27,0.07,0.7,0,8,1
1020,"QUESO AMARILLO, PASTRZ & PROCES,, PARA UNTAR","Leche, quesos y similares",1,47.65,290,16.41,21.23,8.73,0,5.98,562,712,0.33,0.05,0.43,0.13,0,173,6.22,0.62,13.33,55,242,1345,2.59,29,0.12,0.4,0,7,1
1022,QUESO BLANCO (PANAMA),"Leche, quesos y similares",1,53.1,276,17.1,21.3,4.5,0,4,643,367,2,0.03,0.59,0.1,0,252,5.75,0.45,15.26,72,187,842,2.38,20,0.23,1.3,62,,1
1023,"QUESO BLANCO FRESCO,  LECHE DE CABRA","Leche, quesos y similares",1,60.75,268,18.52,21.08,0.89,0,1.58,140,256,1.9,0.07,0.38,0.43,0,288,4.81,0.5,14.57,46,26,368,0.92,16,0.25,0.19,0,12,1
1024,"QUESO COTTAGE, C/CREMA","Leche, quesos y similares",1,78.96,103,12.49,4.51,2.68,0,1.36,60,132,0.14,0.02,0.16,0.13,0,44,1.28,0.14,2.85,15,84,405,0.37,5,0.07,0.62,0,12,1
1025,"QUESO COTTAGE, S/CREMA","Leche, quesos y similares",1,79.77,85,17.27,0.42,1.85,0,0.69,32,104,0.23,0.03,0.14,0.16,0,9,0.11,0.01,0.27,7,32,13,0.47,4,0.08,0.83,0,15,1
1026,QUESO CREMA O DE CAPAS,"Leche, quesos y similares",1,53.75,349,7.55,34.87,2.66,0,1.17,80,104,1.2,0.02,0.2,0.1,0,366,9.84,1.26,21.97,110,119,296,0.54,6,0.05,0.42,0,13,1
1027,"QUESO TIPO CUAJADA,  FRESCO","Leche, quesos y similares",1,55.2,236,18.7,15.4,5.4,,5.3,718,385,1.5,0.04,0.73,0.07,0,153,,,,,,,,,,,,,1
1028,"QUESO DURO O SECO,  LECHE INTEGRA","Leche, quesos y similares",1,26.1,444,27.9,35.2,3.7,,7,2274,500,1.7,0.04,0.58,0.09,0,318,6.66,0.27,16.4,68,92,1602,2.75,,0.09,,7,,1
1029,"QUESO BLANCO FRESCO,  LECHE INTEGRA","Leche, quesos y similares",1,55,264,17.5,20.1,3.3,,4.1,783,375,1.3,0.03,0.43,0.15,0,420,,,,,,,,,,,,,1
1030,"QUESO BLANCO FRESCO,  LECHE SEMIDESCREMADA","Leche, quesos y similares",1,63.1,173,24.35,7,1.91,0,3.64,415,484,0.42,0.01,0.22,0.05,0,60,2.08,0.22,4.34,21,66,612,1.82,16,0.05,0.49,0,11,1
1031,"QUESO BLANCO FRESCO,  LECHE DESCREMADA","Leche, quesos y similares",1,64.3,127,21,1.8,5.4,,7.4,687,332,1.8,0.06,0.55,0.19,0,6,,,,,,,,,,,,,1
1032,QUESO GOUDA,"Leche, quesos y similares",1,41.46,356,24.94,27.44,2.22,0,3.94,700,546,0.24,0.03,0.33,0.06,0,165,7.75,0.66,17.61,114,121,819,3.9,29,0.08,1.54,0,21,1
1033,"QUESO MOZARELA,  LECHE INTEGRA","Leche, quesos y similares",1,50.01,300,22.17,22.35,2.19,0,3.28,505,354,0.44,0.03,0.28,0.1,0,179,6.57,0.76,13.15,79,76,627,2.92,20,0.04,2.28,0,7,1
1034,"QUESO OREADO,  LECHE INTEGRA","Leche, quesos y similares",1,42.3,325,22.2,24.8,3.1,,7.6,751,414,2,0.05,0.62,0.12,0,166,,,,,,,,,,,,,1
1035,"QUESO OREADO,  LECHE SEMIDESCREMADA","Leche, quesos y similares",1,44.8,263,25.4,14.2,7.6,,8,752,444,2.6,0.06,0.49,0.11,0,50,,,,,,,,,,,,,1
1036,"QUESO OREADO,  LECHE DESCREMADA","Leche, quesos y similares",1,41.9,232,38.2,5.7,4.9,,9.3,1004,642,1.8,0.08,0.64,0.29,0,20,,,,,,,,,,,,,1
1037,"QUESO PARMESANO,  GRATINADO","Leche, quesos y similares",1,20.84,431,38.46,28.61,4.06,0,8.03,1109,729,0.9,0.03,0.49,0.11,0,120,8.38,1.17,17.3,88,125,1529,3.87,38,0.05,2.26,0,10,1
1038,QUESO TIPO REQUESON,"Leche, quesos y similares",1,73.9,118,12.3,3,10,,,92,,0.5,0.07,0.22,0.2,0,,1.8,0.2,4.3,25,54,450,0.5,6,0.01,0.5,9,,1
1039,QUESO TIPO SUIZO,"Leche, quesos y similares",1,42.31,334,24.73,25.01,2.1,0,5.85,772,762,0.61,0.01,0.28,0.04,0,198,7.05,0.62,16.05,85,216,1370,3.61,29,0.04,1.23,0,6,1
1040,"YOGURT, LECHE DESCREMADA,  NATURAL","Leche, quesos y similares",1,85.23,56,5.73,0.18,7.68,0,1.18,199,157,0.09,0.05,0.23,0.12,1,2,0.05,0,0.12,2,255,77,0.97,19,0.05,0.61,0,12,1
1041,"YOGURT, LECHE INTEGRA,  NATURAL","Leche, quesos y similares",1,87.9,61,3.47,3.25,4.66,0,0.72,121,95,0.05,0.03,0.14,0.08,1,27,0.89,0.09,2.1,13,155,46,0.59,12,0.03,0.37,0,7,1
1042,"YOGURT, LECHE DESCREMADA, SABOR FRUTAS","Leche, quesos y similares",1,75.3,99,3.98,1.15,18.64,0,0.93,138,109,0.06,0.03,0.16,0.09,1,11,0.32,0.03,0.74,5,177,53,0.67,13,0.04,0.43,0,9,1
1043,"QUESO TIPO QUESILLO, FRESCO","Leche, quesos y similares",1,51,299,18,24,3,,4,162,,0.5,0.05,0.47,0.4,0,48,1.6,0.1,2.85,15,84,405,0.37,,0.07,0.62,12,,1
1044,"QUESO PARMESANO,  DURO","Leche, quesos y similares",1,29.16,392,35.75,25.83,3.22,0,6.04,1184,694,0.82,0.04,0.33,0.27,0,108,7.51,0.57,16.41,68,92,1602,2.75,44,0.09,1.2,0,7,1
1045,"LECHE DE VACA, CON COCOA, FLUIDA","Leche, quesos y similares",1,82.57,77,3.52,2.33,10.63,1,0.65,105,105,0.48,0.04,0.18,0.13,0,51,0.68,0.03,1.43,8,197,44,0.63,23,0.04,0.42,0,5,1
1046,"LECHE DE VACA, DESCREMADA C/VIT A,  FLUIDA (1%GRASA)","Leche, quesos y similares",1,89.92,42,3.37,0.97,4.99,0,0.75,119,95,0.03,0.02,0.19,0.09,0,58,0.28,0.04,0.63,5,150,44,0.42,11,0.04,0.44,0,5,1
1047,"LECHE DE VACA, SEMIDESCREMADA (2 % GRASA), FORTIFICADA, FLUIDA","Leche, quesos y similares",1,87.71,56,3.95,1.98,5.49,0,0.87,143,112,0.06,0.05,0.19,0.1,1,0,0.57,0.07,1.23,8,182,59,0.45,16,0.05,0.43,0,6,1
1048,"QUESO AMARILLO, PASTRZ & PROCES,, RODAJAS BAJO EN GRASA","Leche, quesos y similares",1,58.9,180,24.6,7,3.5,0,6,684,827,0.43,0.03,0.39,0.08,0,57,2.01,0.22,4.41,35,180,1430,3.32,24,0.08,0.77,0,9,1
1049,"QUESO COTTAGE, SEMIDESCREMADO (2% GRASA)","Leche, quesos y similares",1,79.31,90,13.74,1.93,3.63,0,1.39,69,151,0.16,0.02,0.19,0.14,0,21,0.55,0.06,1.22,8,96,406,0.42,6,0.08,0.71,0,13,1
1050,"QUESO MOZARELA,  LECHE DESCREMADA","Leche, quesos y similares",1,53.78,254,24.26,15.92,2.77,0,3.27,782,463,0.22,0.02,0.3,0.1,0,127,4.51,0.47,10.11,64,84,619,2.76,23,0.07,0.82,0,9,1
1051,QUESO TIPO CAMEMBERT,"Leche, quesos y similares",1,51.8,300,19.8,24.26,0.46,0,3.68,388,347,0.33,0.03,0.49,0.63,0,241,7.02,0.72,15.26,72,187,842,2.38,20,0.23,1.3,0,62,1
1052,QUESO TIPO CHEDDAR,"Leche, quesos y similares",1,36.75,403,24.9,33.14,1.28,0,3.93,721,512,0.68,0.03,0.38,0.08,0,265,9.39,0.94,21.09,105,98,621,3.11,28,0.07,0.83,0,18,1
1053,QUESO TIPO FETA,"Leche, quesos y similares",1,55.22,264,14.21,21.28,4.09,0,5.2,493,337,0.65,0.15,0.84,0.99,0,125,4.62,0.59,14.95,89,62,1116,2.88,19,0.42,1.69,0,32,1
1054,QUESO TIPO FONDUE,"Leche, quesos y similares",1,61.61,229,14.23,13.47,3.77,0,1.85,476,306,0.39,0.03,0.2,0.19,0,109,3.56,0.48,8.72,45,105,132,1.96,23,0.05,0.83,4,11,1
1055,QUESO TIPO MONTERREY,"Leche, quesos y similares",1,41.01,373,24.48,30.28,0.68,0,3.55,746,444,0.72,0.01,0.39,0.09,0,198,8.75,0.9,19.07,89,81,536,3,27,0.08,0.83,0,18,1
1056,QUESO TIPO MUENSTER,"Leche, quesos y similares",1,41.77,368,23.41,30.04,1.12,0,3.66,717,468,0.41,0.01,0.32,0.1,0,298,8.71,0.66,19.11,96,134,628,2.81,27,0.06,1.47,0,12,1
1057,"QUESO TIPO SUIZO, BAJO EN GRASA","Leche, quesos y similares",1,59.6,179,28.4,5.1,3.4,0,3.5,961,605,0.17,0.02,0.36,0.09,0,40,1.35,0.18,3.3,35,111,260,3.9,36,0.08,1.68,0,6,1
1058,"QUESO AMARILLO, PASTRZ & PROCES,, RODAJAS C/PIMIENTO","Leche, quesos y similares",1,39.08,375,22.13,31.2,1.73,0.1,5.84,614,744,0.42,0.03,0.35,0.08,2,248,8.94,0.99,19.66,94,162,1428,2.98,22,0.07,0.7,0,8,1
1064,"QUESO TIPO RICOTTA, DESCREMADO","Leche, quesos y similares",1,74.41,138,11.39,7.91,5.14,0,1.15,272,183,0.44,0.02,0.19,0.08,0,107,2.31,0.26,4.93,31,125,125,1.34,15,0.02,0.29,0,13,1
1065,"QUESO TIPO RICOTTA, LECHE INTEGRA","Leche, quesos y similares",1,71.7,174,11.26,12.98,3.04,0,1.02,207,158,0.38,0.01,0.19,0.1,0,120,3.63,0.38,8.3,51,105,84,1.16,11,0.04,0.34,0,12,1
1066,SUERO ACIDO DE LECHE,"Leche, quesos y similares",1,93.42,24,0.76,0.09,5.12,0,0.61,103,78,0.08,0.04,0.14,0.08,0,2,0.03,0,0.06,1,143,48,0.43,10,0.04,0.18,0,2,1
1067,SUERO DULCE DE LECHE,"Leche, quesos y similares",1,93.12,27,0.85,0.36,5.14,0,0.53,47,46,0.06,0.04,0.16,0.07,0,3,0.1,0.01,0.23,2,161,54,0.13,8,0.03,0.28,0,1,1
1068,"YOGURT, LECHE DESCREMADA, SABOR CHOCOLATE","Leche, quesos y similares",1,71.57,112,3.53,0,23.53,1.2,1.37,88,166,0.42,0.05,0.22,0.22,0,0,0,0,0,1,339,135,1.13,40,0.05,0.5,0,12,1
1069,"LECHE DE VACA, DESCREMADA, EN POLVO (PL 480)","Leche, quesos y similares",1,3.16,362,36.16,0.77,51.98,0,7.93,1257,968,0.32,0.42,1.55,0.95,7,901,,,,,1794,535,4.08,110,0.36,4.03,,,1
2001,"HUEVO DE CODORNIZ, CRUDO",Huevos,2,74.35,158,13.05,11.09,0.41,0,1.1,64,226,3.65,0.13,0.79,0.15,0,156,4.32,1.32,3.56,844,132,141,1.47,13,0.15,1.58,0,66,0.92
2002,"HUEVO DE GALLINA, ENTERO, CRUDO",Huevos,2,75.84,147,12.58,9.94,0.77,0,0.86,53,191,1.83,0.07,0.48,0.07,0,140,3.81,1.36,3.1,423,134,140,1.11,12,0.14,1.29,0,47,0.88
2003,"HUEVO DE GALLINA, ENTERO, EN POLVO",Huevos,2,3.1,594,47.35,40.95,4.95,0,3.65,231,831,6.79,0.19,1.54,0.31,0,275,15.34,5.8,12.73,1715,493,523,5.28,42,0.39,3.95,0,171,1
2004,"HUEVO DE GALLINA, CLARA FRESCA",Huevos,2,87.57,52,10.9,0.17,0.73,0,0.63,7,15,0.08,0,0.44,0.1,0,0,0,0,0,0,163,166,0.03,11,0,0.09,0,4,1
2005,"HUEVO DE GALLINA, YEMA, FRESCA",Huevos,2,52.31,322,15.86,26.54,3.59,0,1.71,129,390,2.73,0.18,0.53,0.02,0,381,11.74,4.2,9.55,1234,109,48,2.3,5,0.35,1.95,0,146,1
2006,"HUEVO DE GALLINA, YEMA, POLVO",Huevos,2,2.95,666,34.25,55.8,3.6,0,3.4,284,920,5.42,0.29,1.88,0.09,0,417,21.13,7.89,17.15,2335,244,135,4.93,13,0.66,5.33,0,244,1
2007,"HUEVO DE IGUANA, CRUDO",Huevos,2,63.2,218,14.9,15.2,4.3,,2.4,421,439,2.1,0.14,0.6,0.5,,,,,,,,,,,,,,,0.88
2008,"HUEVO DE PATA, CRUDO",Huevos,2,70.83,185,12.81,13.77,1.45,0,1.14,64,220,3.85,0.16,0.4,0.2,0,194,6.53,1.22,3.68,884,222,146,1.41,17,0.25,5.4,0,80,0.88
2009,"HUEVO DE TORTUGA, CRUDO",Huevos,2,79.2,115,12.6,6.3,0.9,,1,62,180,1.6,0.28,0.31,0.1,,,,,,,,,,,,,,,0.89
2010,"HUEVO DE TORTUGA, COCIDO",Huevos,2,76.8,127,12.2,6.8,3.2,,1,81,238,2.1,0.19,0.25,0.03,0,,,,,,,,,,,,,,0.9
2011,"HUEVO DE PAVA, CRUDO",Huevos,2,72.5,171,13.68,11.88,1.15,0,0.79,99,170,4.1,0.11,0.47,0.02,0,166,4.57,1.66,3.63,933,142,151,1.58,13,0.13,1.69,0,71,0.88
3001,"CODORNIZ, CARNE CRUDA",Carne de aves,3,70.03,134,21.76,4.53,0,0,1.32,13,307,4.51,0.28,0.28,8.2,7,17,1.28,1.17,1.32,70,237,51,2.7,25,0.53,0.47,0,7,0.76
3002,"GANZO, CARNE CRUDA",Carne de aves,3,49.66,371,15.86,33.62,0,0,0.87,12,234,2.5,0.09,0.25,3.61,4,17,17.77,3.76,9.78,80,308,73,1.72,18,0.39,0.34,0,4,0.81
3003,"GALLO O GALLINA, CARNE CRUDA",Carne de aves,3,62.95,243,14.72,19.98,0,0,1.15,187,132,1.22,0.1,0.14,5.25,2,45,9.3,4.55,4.73,143,104,40,1.9,12,0.28,0.27,0,5,1
3004,"PALOMA, CARNE C/PIEL,CRUDA",Carne de aves,3,56.6,294,18.47,23.8,0,0,1.4,12,248,3.54,0.21,0.22,6.05,5,73,9.72,3.07,8.43,95,199,54,2.2,22,0.41,0.4,0,6,0.77
3005,"PATO DE CRIANZA, CARNE C/ PIEL, CRUDA",Carne de aves,3,54.3,326,16,28.6,0,,1,15,188,1.8,0.1,0.24,5.6,0,63,11.52,3.36,9.67,84,204,59,1.86,,0.18,0.3,6,,0.64
3006,"PAVO, CARNE C/PIEL, CRUDA",Carne de aves,3,70.4,160,20.42,8.02,0,0,0.88,15,178,1.43,0.06,0.16,4.09,0,2,2.9,1.98,2.26,68,266,65,2.2,22,0.41,0.4,0,8,0.79
3007,"PAVO, CARNE C/PIEL, HORNEADA",Carne de aves,3,61.7,208,28.1,9.73,0,0,1,26,203,1.79,0.06,0.18,5.09,0,0,3.19,2.48,2.84,82,280,68,2.96,25,0.41,0.35,0,7,0.79
3008,"PAVO, PECHUGA C/PIEL, CRUDA",Carne de aves,3,72.88,125,23.76,2.65,0,0,0.97,11,195,1.19,0.04,0.12,5.81,0,1,1,0.63,0.72,70,276,48,1.28,26,0.53,0.46,0,8,0.88
3009,"PAVO, PECHUGA C/PIEL, HORNEADA",Carne de aves,3,67.63,153,29.07,3.2,0,0,1.1,15,216,1.57,0.04,0.14,6.96,0,0,1.2,0.76,0.87,90,279,53,1.77,28,0.51,0.37,0,6,0.89
3010,"PAVO, PECHUGA S/PIEL, HORNEADA",Carne de aves,3,68.4,135,30.06,0.74,0,0,1.14,12,224,1.53,0.04,0.13,7.49,0,0,0.13,0.2,0.24,83,292,52,1.74,29,0.56,0.39,0,6,0.79
3011,"PAVO, PIERNA C/PIEL, CRUDA",Carne de aves,3,75.61,118,20.13,3.57,0,0,0.88,11,168,1.74,0.05,0.2,2.62,0,1,1.08,0.97,1.1,87,246,69,2.9,21,0.35,0.4,0,10,0.77
3012,"PAVO, PIERNA C/PIEL, HORNEADA",Carne de aves,3,65.62,170,28.49,5.41,0,0,0.99,23,200,2.59,0.05,0.26,3.26,0,0,1.61,1.48,1.67,70,252,80,4.09,24,0.34,0.37,0,9,0.75
3013,"PAVO, PIERNA S/PIEL, HORNEADA",Carne de aves,3,66.54,159,29.19,3.77,0,0,1.02,22,204,2.66,0.05,0.27,3.32,0,0,0.86,1.13,1.27,119,258,81,4.28,25,0.37,0.38,0,10,0.69
3014,"POLLO, ALAS C/PIEL, CRUDAS",Carne de aves,3,66.21,222,18.33,15.97,0,0,0.69,12,132,0.95,0.05,0.09,5.93,1,44,6.35,3.39,4.48,77,156,73,1.33,18,0.35,0.32,0,4,0.54
3015,"POLLO, ALAS C/PIEL, COCIDAS",Carne de aves,3,62.18,249,22.78,16.82,0,0,0.62,12,121,1.13,0.04,0.1,4.62,0,40,6.6,3.58,4.71,70,139,67,1.63,16,0.22,0.18,0,3,0.52
3016,"POLLO, ALAS C/PIEL, FRITAS",Carne de aves,3,48.62,321,26.11,22.16,2.39,0.1,0.72,15,150,1.25,0.06,0.14,6.7,0,38,8.89,4.95,6.06,81,177,77,1.76,19,0.41,0.28,3,8,0.53
3017,"POLLO, ALAS S/PIEL, COCIDAS",Carne de aves,3,67.01,181,27.18,7.18,0,0,0.73,13,134,1.12,0.04,0.11,5.2,0,16,2.31,1.57,2,74,153,73,2.02,18,0.32,0.22,0,3,0.32
3018,"POLLO, ALAS S/PIEL, FRITAS",Carne de aves,3,59.83,211,30.15,9.15,0,0,0.87,15,164,1.14,0.05,0.13,7.24,0,18,3.08,2.07,2.5,84,208,91,2.12,21,0.59,0.34,0,4,0.34
3019,"POLLO, CARNE C/PIEL, CRUDA",Carne de aves,3,65.5,216,17.14,15.85,0,0,0.87,10,166,1.01,0.06,0.12,6.57,0,38,6.64,3.4,4.53,73,196,68,1.07,19,0.32,0.31,0,6,0.72
3020,"POLLO, CARNE C/PIEL, COCIDA",Carne de aves,3,63.93,219,24.68,12.56,0,0,0.76,13,139,1.16,0.05,0.15,5.59,0,44,4.93,2.74,3.5,78,166,67,1.76,19,0.22,0.2,0,5,0.66
3021,"POLLO, CARNE C/PIEL, FRITA",Carne de aves,3,52.41,269,28.56,14.92,3.15,0.1,0.98,17,191,1.38,0.09,0.19,8.99,0,27,5.89,3.41,4.06,90,234,84,2.04,25,0.41,0.31,3,11,0.71
3022,"POLLO, CARNE C/PIEL, HORNEADA",Carne de aves,3,59.45,239,27.3,13.6,0,0,0.92,15,182,1.26,0.06,0.17,8.49,0,48,5.34,2.97,3.79,88,223,82,1.94,23,0.4,0.3,0,5,0.67
3023,"POLLO, CARNE S/PIEL, CRUDA",Carne de aves,3,75.46,119,21.39,3.08,0,0,0.96,12,173,0.89,0.07,0.14,8.24,2,16,0.9,0.75,0.79,70,229,77,1.54,25,0.43,0.37,0,7,0.48
3024,"POLLO, CARNE S/PIEL, COCIDA",Carne de aves,3,66.81,177,27.29,6.71,0,0,0.85,14,150,1.17,0.05,0.16,6.12,0,15,2.39,1.54,1.84,83,180,70,1.99,21,0.26,0.22,0,6,0.52
3025,"POLLO, CARNE S/PIEL, FRITA",Carne de aves,3,57.53,219,30.57,9.12,1.69,0.1,1.09,17,205,1.35,0.09,0.2,9.66,0,18,3.35,2.15,2.46,94,257,91,2.24,27,0.48,0.34,0,7,0.58
3026,"POLLO, CARNE S/PIEL, HORNEADA",Carne de aves,3,63.79,190,28.93,7.41,0,0,1.02,15,195,1.21,0.07,0.18,9.17,0,16,2.66,1.69,2.04,89,243,86,2.1,25,0.47,0.33,0,6,0.54
3027,"POLLO, CORAZON, CRUDO",Carne de aves,3,73.56,153,15.55,9.33,0.71,0,0.85,12,177,5.96,0.15,0.73,4.88,3,9,2.37,2.71,2.66,136,176,74,6.59,15,0.36,7.29,0,72,1
3028,"POLLO, HIGADO, CRUDO",Carne de aves,3,76.46,116,16.92,4.83,0,0,1.06,8,297,8.99,0.31,1.78,9.73,18,3296,1.25,0.82,1.56,345,230,71,2.67,19,0.85,16.58,0,588,1
3029,"POLLO, HIGADO, COCIDO",Carne de aves,3,66.81,167,24.46,6.51,0.87,0,1.36,11,405,11.63,0.29,1.99,11.05,28,3981,1.42,2.01,2.06,563,263,76,3.98,25,0.75,16.85,0,578,1
3030,"POLLO, MOLLEJA, CRUDA",Carne de aves,3,79.33,94,17.66,2.06,0,0,0.95,11,148,2.49,0.03,0.23,3.68,4,19,0.51,0.36,0.53,240,237,69,2.72,15,0.11,1.21,0,5,1
3031,"POLLO, MOLLEJA, COCIDA",Carne de aves,3,67.93,146,30.39,2.68,0,0,0.89,17,189,3.19,0.03,0.21,3.12,0,0,0.53,0.35,0.67,370,179,56,4.42,3,0.07,1.04,0,5,
3032,"POLLO, MUSLO C/PIEL, CRUDO",Carne de aves,3,67.68,211,17.27,15.25,0,0,0.81,10,145,0.99,0.06,0.15,5.43,2,44,6.51,3.38,4.39,84,192,76,1.6,20,0.26,0.3,0,8,0.79
3033,"POLLO, MUSLO C/PIEL, COCIDO",Carne de aves,3,63.11,232,23.26,14.74,0,0,0.78,11,139,1.37,0.06,0.19,4.89,0,45,5.84,3.25,4.11,84,170,71,2.25,19,0.17,0.19,0,6,0.76
3034,"POLLO, MUSLO C/PIEL, FRITO",Carne de aves,3,51.5,277,21.61,16.53,9.08,0.3,1.27,18,155,1.45,0.12,0.23,5.72,0,29,6.7,3.9,4.41,93,192,288,2.04,21,0.26,0.28,10,26,0.81
3035,"POLLO, MUSLO S/PIEL, CRUDO",Carne de aves,3,62.87,209,25.94,10.88,0,0,0.95,12,183,1.31,0.07,0.23,6.53,0,20,4.15,2.48,3.03,95,238,88,2.57,24,0.35,0.31,0,8,0.65
3036,"POLLO, MUSLO S/PIEL, COCIDO",Carne de aves,3,65.59,195,25,9.79,0,0,0.86,11,149,1.42,0.06,0.22,5.2,0,19,3.7,2.24,2.71,90,183,75,2.58,21,0.21,0.21,0,7,0.61
3037,"POLLO, MUSLO S/PIEL, FRITO",Carne de aves,3,59.31,218,28.18,10.3,1.18,0,1.04,13,199,1.46,0.09,0.25,7.12,0,21,3.82,2.43,2.78,102,259,95,2.79,26,0.38,0.33,0,9,0.64
3038,"POLLO, PECHUGA C/PIEL, CRUDA",Carne de aves,3,69.46,172,20.85,9.25,0,0,1.01,11,174,0.74,0.06,0.09,9.91,0,25,3.82,1.96,2.66,64,220,63,0.8,25,0.53,0.34,0,4,0.8
3039,"POLLO, PECHUGA S/PIEL, COCIDA",Carne de aves,3,68.27,151,28.98,3.03,0,0,0.91,13,165,0.88,0.04,0.12,8.47,0,6,1.03,0.66,0.85,77,187,63,0.97,24,0.33,0.23,0,3,0.7
3040,"POLLO, PECHUGA S/PIEL, FRITA",Carne de aves,3,60.21,187,33.44,4.71,0.51,0,1.14,16,246,1.14,0.08,0.13,14.78,0,7,1.72,1.07,1.29,91,276,79,1.08,31,0.64,0.37,0,4,0.73
3041,"POLLO, PIERNA C/PIEL, CRUDA",Carne de aves,3,69.91,187,18.15,12.12,0,0,0.85,10,149,1.01,0.07,0.16,5.43,3,37,4.89,2.65,3.41,83,198,79,1.77,21,0.29,0.32,0,11,0.73
